Date, Station, CAPE, CINS
 00Z 01 Mar 2015,  72293,  38.09,  -0.78
 12Z 01 Mar 2015,  72293,  111.66,  -3.74
 00Z 02 Mar 2015,  72293,  0.00,  0.00
 12Z 02 Mar 2015,  72293,  23.70,  -8.01
 00Z 03 Mar 2015,  72293,  21.85,  -9.22
 12Z 03 Mar 2015,  72293,  0.00,  0.00
 00Z 04 Mar 2015,  72293,  0.64,  -58.87
 12Z 04 Mar 2015,  72293,  0.00,  0.00
 00Z 05 Mar 2015,  72293,  0.00,  0.00
 12Z 05 Mar 2015,  72293,  0.00,  0.00
 00Z 06 Mar 2015,  72293,  0.00,  0.00
 12Z 06 Mar 2015,  72293,  0.00,  0.00
 00Z 07 Mar 2015,  72293,  0.00,  0.00
 12Z 07 Mar 2015,  72293,  0.00,  0.00
 00Z 08 Mar 2015,  72293,  0.00,  0.00
 12Z 08 Mar 2015,  72293,  0.00,  0.00
 00Z 09 Mar 2015,  72293,  0.00,  0.00
 12Z 09 Mar 2015,  72293,  0.00,  0.00
 00Z 10 Mar 2015,  72293,  0.00,  0.00
 12Z 10 Mar 2015,  72293,  0.00,  0.00
 00Z 11 Mar 2015,  72293,  0.00,  0.00
 12Z 11 Mar 2015,  72293,  0.00,  0.00
 00Z 12 Mar 2015,  72293,  0.00,  0.00
 12Z 12 Mar 2015,  72293,  0.00,  0.00
 00Z 13 Mar 2015,  72293,  0.00,  0.00
 12Z 13 Mar 2015,  72293,  0.00,  0.00
 00Z 14 Mar 2015,  72293,  0.00,  0.00
 12Z 14 Mar 2015,  72293,  0.00,  0.00
 00Z 15 Mar 2015,  72293,  0.00,  0.00
 12Z 15 Mar 2015,  72293,  0.00,  0.00
 00Z 16 Mar 2015,  72293,  0.00,  0.00
 12Z 16 Mar 2015,  72293,  0.00,  0.00
 00Z 17 Mar 2015,  72293,  0.00,  0.00
 12Z 17 Mar 2015,  72293,  0.00,  0.00
 00Z 18 Mar 2015,  72293,  0.00,  0.00
 12Z 18 Mar 2015,  72293,  204.67,  0.00
 00Z 19 Mar 2015,  72293,  177.80,  -201.17
 12Z 19 Mar 2015,  72293,  41.35,  -0.01
 00Z 20 Mar 2015,  72293,  122.70,  -284.48
 12Z 20 Mar 2015,  72293,  29.36,  0.00
 00Z 21 Mar 2015,  72293,  0.00,  0.00
 12Z 21 Mar 2015,  72293,  0.00,  0.00
 00Z 22 Mar 2015,  72293,  0.00,  0.00
 12Z 22 Mar 2015,  72293,  0.04,  0.00
 00Z 23 Mar 2015,  72293,  0.00,  0.00
 12Z 23 Mar 2015,  72293,  1.72,  -3.67
 00Z 24 Mar 2015,  72293,  0.00,  0.00
 12Z 24 Mar 2015,  72293,  0.00,  0.00
 00Z 25 Mar 2015,  72293,  0.00,  0.00
