Date,            Station,Showalter, Lifed, LIFT, SWEAT,    K,     TT,CAPE, CINS,Equilibrum,LFCT, CAPV,Temp K, PW 
00:00 19 Jan 2015,  72293,  11.78,  10.91,  10.95,  24.98,  -13.70,  18.80,  0.00,  0.00,  0.00,  269.62,  9.37  
12:00 19 Jan 2015,  72293,  7.70,  10.50,  10.41,  32.98,  5.10,  36.00,  0.00,  0.00,  0.00,  272.71,  11.64  
00:00 20 Jan 2015,  72293,  8.27,  5.19,  5.16,  66.01,  -3.30,  33.80,  0.00,  0.00,  0.00,  282.11,  14.40  
12:00 20 Jan 2015,  72293,  9.11,  7.38,  7.32,  41.01,  -10.10,  30.20,  0.00,  0.00,  0.00,  281.24,  12.48  
00:00 21 Jan 2015,  72293,  4.12,  4.10,  3.98,  67.02,  13.10,  45.00,  0.00,  0.00,  0.00,  281.83,  14.80  
12:00 21 Jan 2015,  72293,  1.61,  2.50,  2.36,  73.01,  13.30,  50.40,  0.67,  0.00,  924.17,  940.89,  0.02,  282.18,  14.69  
00:00 22 Jan 2015,  72293,  4.99,  2.84,  2.63,  61.99,  2.30,  44.00,  0.00,  0.00,  0.00,  278.23,  11.70  
12:00 22 Jan 2015,  72293,  14.21,  15.11,  15.02,  60.00,  -42.90,  16.80,  0.00,  0.00,  0.00,  257.17,  3.31  
00:00 23 Jan 2015,  72293,  13.14,  12.22,  12.20,  54.02,  -27.10,  21.60,  0.00,  0.00,  0.00,  260.68,  5.52  
12:00 23 Jan 2015,  72293,  10.15,  14.01,  14.16,  39.01,  -21.50,  27.00,  0.00,  0.00,  0.00,  251.42,  7.18  
00:00 24 Jan 2015,  72293,  11.94,  12.16,  12.13,  83.00,  -16.90,  24.00,  0.00,  0.00,  0.00,  260.04,  7.20  
12:00 24 Jan 2015,  72293,  8.37,  10.64,  10.57,  88.00,  -10.50,  34.20,  0.00,  0.00,  0.00,  256.47,  5.32  
00:00 25 Jan 2015,  72293,  9.72,  10.19,  10.10,  59.98,  -6.50,  32.00,  0.00,  0.00,  0.00,  257.63,  7.29  
12:00 25 Jan 2015,  72293,  10.21,  12.01,  12.03,  105.01,  -10.50,  30.60,  0.00,  0.00,  0.00,  259.97,  6.96  
00:00 26 Jan 2015,  72293,  10.30,  11.08,  11.14,  94.99,  -12.50,  31.60,  0.00,  0.00,  0.00,  263.27,  10.76  
