Date, Station, CAPE, CINS
 18 May 2015,  72293,  0.92,  -6.34
 19 May 2015,  72293,  13.73,  -0.11
 20 May 2015,  72293,  0.40,  -0.60
 21 May 2015,  72293,  24.74,  0.00
 22 May 2015,  72293,  102.30,  -0.29
 23 May 2015,  72293,  11.76,  -0.02
 24 May 2015,  72293,  26.57,  0.00
 25 May 2015,  72293,  1.17,  0.00
 26 May 2015,  72293,  0.00,  0.00
 27 May 2015,  72293,  0.00,  0.00
 28 May 2015,  72293,  0.00,  0.00
 29 May 2015,  72293,  0.00,  0.00
 30 May 2015,  72293,  0.00,  0.00
 31 May 2015,  72293,  0.00,  0.00
 01 Jun 2015,  72293,  1.34,  0.00
 02 Jun 2015,  72293,  0.00,  0.00
 03 Jun 2015,  72293,  0.73,  0.00
 04 Jun 2015,  72293,  5.24,  0.00
 05 Jun 2015,  72293,  1.05,  -0.66
 06 Jun 2015,  72293,  3.65,  -0.18
 07 Jun 2015,  72293,  0.00,  0.00
 08 Jun 2015,  72293,  0.00,  0.00
 09 Jun 2015,  72293,  0.00,  0.00
 10 Jun 2015,  72293,  0.00,  0.00
 11 Jun 2015,  72293,  0.18,  0.00
 12 Jun 2015,  72293,  0.52,  0.00
 13 Jun 2015,  72293,  0.00,  0.00
 14 Jun 2015,  72293,  0.20,  0.00
 15 Jun 2015,  72293,  0.00,  0.00
 16 Jun 2015,  72293,  0.00,  0.00
 17 Jun 2015,  72293,  0.00,  0.00
 18 Jun 2015,  72293,  0.00,  0.00
 19 Jun 2015,  72293,  0.00,  0.00
 20 Jun 2015,  72293,  0.00,  0.00
 21 Jun 2015,  72293,  0.00,  0.00
 22 Jun 2015,  72293,  0.00,  0.00
 23 Jun 2015,  72293,  0.00,  0.00
 24 Jun 2015,  72293,  0.00,  0.00
 25 Jun 2015,  72293,  0.00,  0.00
 26 Jun 2015,  72293,  0.00,  0.00
 27 Jun 2015,  72293,  0.00,  0.00
 28 Jun 2015,  72293,  0.00,  0.00
 29 Jun 2015,  72293,  0.00,  0.00
 30 Jun 2015,  72293,  0.00,  0.00
 01 Jul 2015,  72293,  0.00,  0.00
 02 Jul 2015,  72293,  0.00,  0.00
 03 Jul 2015,  72293,  0.00,  0.00
 04 Jul 2015,  72293,  0.02,  0.00
 05 Jul 2015,  72293,  0.00,  0.00
 06 Jul 2015,  72293,  0.00,  0.00
 07 Jul 2015,  72293,  0.23,  0.00
 08 Jul 2015,  72293,  2.44,  0.00
 09 Jul 2015,  72293,  13.86,  -1.34
 10 Jul 2015,  72293,  10.57,  0.00
 11 Jul 2015,  72293,  0.00,  0.00
 12 Jul 2015,  72293,  0.00,  0.00
 13 Jul 2015,  72293,  0.00,  0.00
 14 Jul 2015,  72293,  0.00,  0.00
 15 Jul 2015,  72293,  0.59,  0.00
 16 Jul 2015,  72293,  0.00,  0.00
 17 Jul 2015,  72293,  0.00,  0.00
 18 Jul 2015,  72293,  0.00,  0.00
 19 Jul 2015,  72293,  271.87,  -219.17
 20 Jul 2015,  72293,  96.14,  0.00
 21 Jul 2015,  72293,  13.14,  -523.27
 22 Jul 2015,  72293,  3.97,  -1.50
 23 Jul 2015,  72293,  3.28,  -0.22
 24 Jul 2015,  72293,  0.00,  0.00
 25 Jul 2015,  72293,  0.00,  0.00
 26 Jul 2015,  72293,  0.00,  0.00
 27 Jul 2015,  72293,  0.42,  0.00
 28 Jul 2015,  72293,  0.00,  0.00
 29 Jul 2015,  72293,  0.00,  0.00
 30 Jul 2015,  72293,  0.00,  0.00
 31 Jul 2015,  72293,  0.00,  0.00
 01 Aug 2015,  72293,  0.00,  0.00
 02 Aug 2015,  72293,  0.00,  0.00
 03 Aug 2015,  72293,  0.00,  0.00
 04 Aug 2015,  72293,  0.00,  0.00
 05 Aug 2015,  72293,  0.00,  0.00
